question,true_answer,generated_answer
What are the genetic changes related to leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation ?,"LBSL is caused by mutations in the DARS2 gene, which provides instructions for making an enzyme called mitochondrial aspartyl-tRNA synthetase. This enzyme is important in the production (synthesis) of proteins in cellular structures called mitochondria, the energy-producing centers in cells. While most protein synthesis occurs in the fluid surrounding the nucleus (cytoplasm), some proteins are synthesized in the mitochondria.  During protein synthesis, in either the mitochondria or the cytoplasm, building blocks (amino acids) are connected together in a specific order, creating a chain of amino acids that forms the protein. Mitochondrial aspartyl-tRNA synthetase plays a role in adding the amino acid aspartic acid at the proper place in mitochondrial proteins.  Mutations in the DARS2 gene result in decreased mitochondrial aspartyl-tRNA synthetase enzyme activity, which hinders the addition of aspartic acid to mitochondrial proteins. It is unclear how the gene mutations lead to the signs and symptoms of LBSL. Researchers do not understand why reduced activity of mitochondrial aspartyl-tRNA synthetase specifically affects certain parts of the brain and spinal cord.","Patient: What are the genetic changes related to leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation ?
Doctor: Hello!Thank you for asking on HCM! I understand your concern, and would explain that it is important to perform an examination on the brain stem to examine for any possible disorders related to the spinal cord involvement. It is possible that leukoencephalopathy could be related to the brain stem. I recommend consulting with your GP for a careful physical examination, a resting ECG, a chest x ray study, a cervical spine x ray study and some blood lab tests: - complete blood count- PCR, sedimentation rate (inflammation)- thyroid hormone levels- liver and kidney function tests- blood electrolytes- fasting glucose- cortisol plasma levels- PCR for inflammation. You should discuss with your doctor on the above issues. Hope to have been helpful!Greetings! Dr. Iliri "
What to do for Primary Biliary Cirrhosis ?,"A healthy diet is important in all stages of cirrhosis because malnutrition is common in people with this disease. Malnutrition is a condition that occurs when the body does not get enough nutrients. Cirrhosis may lead to malnutrition because it can cause
                
- people to eat less because of symptoms such as loss of appetite  - changes in metabolism  - reduced absorption of vitamins and minerals
                
Health care providers can recommend a meal plan that is well balanced and provides enough calories and protein. If ascites develops, a health care provider or dietitian may recommend a sodium-restricted diet. To improve nutrition, the health care provider may prescribe a liquid supplement. A person may take the liquid by mouth or through a nasogastric tubea tiny tube inserted through the nose and throat that reaches into the stomach.
                
A person with cirrhosis should not eat raw shellfish, which can contain a bacterium that causes serious infection. Cirrhosis affects the immune system, making people with cirrhosis more likely than healthy people to develop an infection after eating shellfish that contain this bacterium.
                
A health care provider may recommend calcium and vitamin D supplements to help prevent osteoporosis.","Patient: What to do for Primary Biliary Cirrhosis ?
Doctor: hello. I have gone through your query.Thanks for using HCM.First of all i want to know what is the status of your bile levels? If they are above normal then you need treatment.You should consult your doctor for the same.My best wishesDr.Rajesh Teli MD "
Who is at risk for Fecal Incontinence? ?,"Nearly 18 million U.S. adultsabout one in 12have fecal incontinence.1 People of any age can have a bowel control problem, though fecal incontinence is more common in older adults. Fecal incontinence is slightly more common among women. Having any of the following can increase the risk:
                
- diarrhea, which is passing loose, watery stools three or more times a day  - urgency, or the sensation of having very little time to get to the toilet for a bowel movement  - a disease or injury that damages the nervous system  - poor overall health from multiple chronic, or long lasting, illnesses  - a difficult childbirth with injuries to the pelvic floorthe muscles, ligaments, and tissues that support the uterus, vagina, bladder, and rectum","Patient: Who is at risk for Fecal Incontinence? ?
Doctor: Hi,          I would like to tell you that in your age group with risk factors like hypertension, obesity, diabetes, family history of CLL, you have risk for FBC.                  I would like to suggest you to get an ultrasound of abdomen done.                       Based on the ultrasound report you have mentioned, please get a prescription of Metformin for Fecal incontinence.                             Wishing for a quick recovery.                     Regards, Dr. Tushar Kanti Biswas, Internal Medicine Specialist "
What is (are) Pervasive Developmental Disorders ?,"The diagnostic category of pervasive developmental disorders (PDD) refers to a group of disorders characterized by delays in the development of socialization and communication skills. Parents may note symptoms as early as infancy, although the typical age of onset is before 3 years of age. Symptoms may include problems with using and understanding language; difficulty relating to people, objects, and events; unusual play with toys and other objects; difficulty with changes in routine or familiar surroundings, and repetitive body movements or behavior patterns. Autism (a developmental brain disorder characterized by impaired social interaction and communication skills, and a limited range of activities and interests) is the most characteristic and best studied PDD. Other types of PDD include Asperger's Syndrome, Childhood Disintegrative Disorder, and Rett's Syndrome. Children with PDD vary widely in abilities, intelligence, and behaviors. Some children do not speak at all, others speak in limited phrases or conversations, and some have relatively normal language development. Repetitive play skills and limited social skills are generally evident. Unusual responses to sensory information, such as loud noises and lights, are also common.","Patient: What is (are) Pervasive Developmental Disorders ?
Doctor: Hello ,Pervasive developmental disorders is usually seen in children and is a common condition in the elderly.  They are usually seen in children with ASD.  The treatment is not specific , but is known to cause significant changes in the brain and in the surrounding muscles and bones.  If they are present in the early years of adulthood , it will usually be treated as a congenital defect , which is a progressive condition and can be treated at a later age.  It is not uncommon in children to develop these disorders in the early years of their life.  If you are able to get an appointment for your appointment on Monday , you should get a MRI brain done , to see if it is possible to get them in the future . Regards Dr Priyank Mody "
What are the symptoms of Crome syndrome ?,"What are the signs and symptoms of Crome syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Crome syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the renal tubule 90% Aplasia/Hypoplasia of the cerebellum 90% Cataract 90% Cognitive impairment 90% Encephalitis 90% Seizures 90% Nystagmus 50% Acute tubular necrosis - Autosomal recessive inheritance - Cerebellar dysplasia - Congenital cataract - Encephalopathy - Intellectual disability - Short stature - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","Patient: What are the symptoms of Crome syndrome ?
Doctor: Hello, Thanks for posting a question on our site.  Crome syndrome is a disorder that affects the nerves in our body.  It affects the heart muscle and the nerves in the innermost layer of our neck (the base).  It affects our ability to pump blood into the muscles of our inner upper neck which is affected by our body's electrical activity.  Crome is caused by abnormal electrical activity of the heart.  When this electrical activity is not allowed to occur, we have a problem with our blood flow to the heart.  If you were my patient I would ask you what was the diagnosis and how long did your symptoms last. Also what was your diagnosis for Crome ?    I would suggest you to get a stress test done to see if the disease progresses.  If you are not having any symptoms I suggest you to see a cardiologist.  Hope this helps . "
What is (are) Chronic Fatigue Syndrome ?,"Chronic fatigue syndrome (CFS) is a disorder that causes extreme fatigue. This fatigue is not the kind of tired feeling that goes away after you rest. Instead, it lasts a long time and limits your ability to do ordinary daily activities.    The main symptom of CFS is severe fatigue that lasts for 6 months or more. You also have at least four of these other symptoms:       - Feeling unwell for more than 24 hours after physical activity    - Muscle pain    - Memory problems    - Headaches    - Pain in multiple joints    - Sleep problems    - Sore throat    - Tender lymph nodes       CFS is hard to diagnose. There are no tests for it, and other illnesses can cause similar symptoms. Your doctor has to rule out other diseases before making a diagnosis of CFS.    No one knows what causes CFS. It is most common in women in their 40s and 50s, but anyone can have it. It can last for years. There is no cure for CFS, so the goal of treatment is to improve symptoms. Medicine may treat pain, sleep disorders, and other problems. Lifestyle changes, coping techniques, and a special, gradual exercise program can also help.    Centers for Disease Control and Prevention","Patient: What is (are) Chronic Fatigue Syndrome ?
Doctor: Hello and Welcome to ‘Ask A Doctor’ service.I have reviewed your query and here is my advice.The diagnosis depends on your age, presence of diabetes, blood pressure, cholesterol level and other associated problems. Chronic Fatigue Syndrome can be a cause for fatigue. You should take a course of medications for chronic Fatigue. You may take tablet Pantocid 40 mg once daily. You should consult your doctor for the same.Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Sagar Makode "
Is nonsyndromic holoprosencephaly inherited ?,"Nonsyndromic holoprosencephaly is inherited in an autosomal dominant pattern, which means an alteration in one copy of a gene in each cell is usually sufficient to cause the disorder. However, not all people with a gene mutation will develop signs and symptoms of the condition.  In some cases, an affected person inherits the mutation from one parent who may or may not have mild features of the condition. Other cases result from a new gene mutation and occur in people with no history of the disorder in their family.","Patient: Is nonsyndromic holoprosencephaly inherited ?
Doctor: Hello and Welcome to ‘Ask A Doctor’ service.I have reviewed your query and here is my advice. nonsyndromic is not inherited. In some people it is not hereditary but it is common in them, if it is inherited then it is a hereditary disease. If you have not told about it, I would suggest you to get it done.  Hope I have answered your query. Let me know if I can assist you further.Regards,  Dr. RS Gulati "
How to prevent Balance Problems ?,"People are more likely to have problems with balance as they get older. But age is not the only reason these problems occur; there are other causes, too. In some cases, you can help reduce your risk for certain balance problems. Problems in the Inner Ear Some balance disorders are caused by problems in the inner ear. The part of the inner ear that is responsible for balance is the vestibular system, also known as the labyrinth. When the labyrinth becomes infected or swollen, this condition is called labyrinthitis. It is typically accompanied by vertigo and imbalance. Upper respiratory infections and other viral infections, and, less commonly, bacterial infections, can lead to labyrinthitis. Other Causes Other balance diseorers may involve another part of the body, such as the brain or the heart. For example, diseases of the circulatory system, such as stroke, can cause dizziness and other balance problems. Smoking and diabetes can increase the risk of stroke. Low blood pressure can also cause dizziness. Aging, infections, head injury and many medicines may also result in a balance problem. Problems Caused by Medications Balance problems can also result from taking many medications. For example, some medicines, such as those that help lower blood pressure, can make a person feel dizzy. Ototoxic drugs are medicines that damage the inner ear. If your medicine is ototoxic, you may feel off balance. Sometimes the damage lasts only as long as you take the drug; many times it is permanent. Groups of drugs that are more likely to be ototoxic include -  antidepressants  - anti-seizure drugs (anticonvulsants)  -  hypertensive (high blood pressure) drugs  - sedatives  - tranquilizers  -  anxiolytics (anti-anxiety drugs)   - aminoglycosides (a type of antibiotic)   - diuretics  - vasodilators  - certain analgesics (painkillers)  - certain chemotherapeutics (anti-cancer drugs). antidepressants anti-seizure drugs (anticonvulsants) hypertensive (high blood pressure) drugs sedatives tranquilizers anxiolytics (anti-anxiety drugs) aminoglycosides (a type of antibiotic) diuretics vasodilators certain analgesics (painkillers) certain chemotherapeutics (anti-cancer drugs). Check with your doctor if you notice a problem while taking a medication. Ask if other medications can be used instead. If not, ask if the dosage can be safely reduced. Sometimes it cannot. However, your doctor will help you get the medication you need while trying to reduce unwanted side effects. Diet and Lifestyle Can Help Your diet and lifestyle can help you manage certain balance-related problems. For example, Mnire's disease, which causes vertigo and other balance and hearing problems, is linked to a change in the volume of fluid in the inner ear. By eating low-salt (low-sodium) or salt-free foods, and steering clear of caffeine and alcohol, you may make Mnire's disease symptoms less severe. See suggestions for limiting salt (sodium) in your diet. Balance problems due to high blood pressure can be managed by eating less salt (less sodium), maintaining a healthy weight, and exercising. Balance problems due to low blood pressure may be managed by drinking plenty of fluids, such as water, avoiding alcohol, and being cautious regarding your body's posture and movement, such as standing up slowly and avoiding crossing your legs when youre seated. Learn more about managing high blood pressure (hypertension). Learn more about manging low blood pressure (hypotension). Prevent Ear Infections The ear infection called otitis media is common in children, but adults can get it too. Otitis media can sometimes cause dizziness. You can help prevent otitis media by washing your hands frequently. Also, talk to your doctor about getting a yearly flu shot to stave off flu-related ear infections. If you still get an ear infection, see a doctor immediately before it becomes more serious. Learn more about otitis media and other ear infections. (Centers for Disease Control and Prevention)","Patient: How to prevent Balance Problems ?
Doctor: Hello and Welcome to ‘Ask A Doctor’ service.I have reviewed your query and here is my advice.I have gone through your query.You can take Tab.Telma 40 mg twice a day.If problem persist then consult a cardiologist and get evaluated.Hope I have answered your query. Let me know if I can assist you further.Regards,Dr. Varinder Joshi "
What are the symptoms of Porencephaly ?,"What are the signs and symptoms of Porencephaly? The Human Phenotype Ontology provides the following list of signs and symptoms for Porencephaly. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of movement 90% Hypertonia 90% Ventriculomegaly 90% Cognitive impairment 50% Hemiplegia/hemiparesis 50% Autosomal dominant inheritance - Babinski sign - Cerebellar atrophy - Elevated serum creatine phosphokinase - Exotropia - Hemiplegia - Hemolytic anemia - Hydrocephalus - Incomplete penetrance - Intellectual disability - Intracranial hemorrhage - Ischemic stroke - Leukoencephalopathy - Limb dystonia - Porencephaly - Schizencephaly - Seizures - Spasticity - Tetraparesis - Variable expressivity - Visual field defect - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","Patient: What are the symptoms of Porencephaly ?
Doctor: Hi Welcome to HCM.I understand your concern.Porencephaly is an enlargement of the heart and is a common finding in people with heart disease or other conditions. The heart enlargement usually is seen in people with normal blood flow in the left ventricle. It does not happen in every individual. The most prominent sign of Porencephaly is increased heart beats. It can be associated with breathlessness, fatigue and headaches. If you have any further questions please feel free to write.Good luck. "
"How many people are affected by intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomalies ?","IMAGe syndrome is very rare, with only about 20 cases reported in the medical literature. The condition has been diagnosed more often in males than in females, probably because females do not have associated genital abnormalities.","Patient: How many people are affected by intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomalies ?
Doctor: Hello and Welcome to ‘Ask A Doctor’ service. I have reviewed your query and here is my advice.  It depends on the diagnosis and the severity of the disease. It can be treated medically and it's a congenital anomaly. It should be treated and treated with surgery.  Hope I have answered your query. Let me know if I can assist you further. "
