question,true_answer,generated_answer
What are the genetic changes related to leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation ?,"LBSL is caused by mutations in the DARS2 gene, which provides instructions for making an enzyme called mitochondrial aspartyl-tRNA synthetase. This enzyme is important in the production (synthesis) of proteins in cellular structures called mitochondria, the energy-producing centers in cells. While most protein synthesis occurs in the fluid surrounding the nucleus (cytoplasm), some proteins are synthesized in the mitochondria.  During protein synthesis, in either the mitochondria or the cytoplasm, building blocks (amino acids) are connected together in a specific order, creating a chain of amino acids that forms the protein. Mitochondrial aspartyl-tRNA synthetase plays a role in adding the amino acid aspartic acid at the proper place in mitochondrial proteins.  Mutations in the DARS2 gene result in decreased mitochondrial aspartyl-tRNA synthetase enzyme activity, which hinders the addition of aspartic acid to mitochondrial proteins. It is unclear how the gene mutations lead to the signs and symptoms of LBSL. Researchers do not understand why reduced activity of mitochondrial aspartyl-tRNA synthetase specifically affects certain parts of the brain and spinal cord.","Patient: What are the genetic changes related to leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation ?
Doctor: Mutations in the ABCB11 and ABCB4 genes cause leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation. Mutations in either gene cause the condition.     There is no one test to diagnose leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation.    Genetic counseling and a trained specialist are recommended.    There is no cure or standard treatment for leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation. Treatment is supportive and based on the symptoms and their severity."
What to do for Primary Biliary Cirrhosis ?,"A healthy diet is important in all stages of cirrhosis because malnutrition is common in people with this disease. Malnutrition is a condition that occurs when the body does not get enough nutrients. Cirrhosis may lead to malnutrition because it can cause
                
- people to eat less because of symptoms such as loss of appetite  - changes in metabolism  - reduced absorption of vitamins and minerals
                
Health care providers can recommend a meal plan that is well balanced and provides enough calories and protein. If ascites develops, a health care provider or dietitian may recommend a sodium-restricted diet. To improve nutrition, the health care provider may prescribe a liquid supplement. A person may take the liquid by mouth or through a nasogastric tubea tiny tube inserted through the nose and throat that reaches into the stomach.
                
A person with cirrhosis should not eat raw shellfish, which can contain a bacterium that causes serious infection. Cirrhosis affects the immune system, making people with cirrhosis more likely than healthy people to develop an infection after eating shellfish that contain this bacterium.
                
A health care provider may recommend calcium and vitamin D supplements to help prevent osteoporosis.","Patient: What to do for Primary Biliary Cirrhosis ?
Doctor: - Primary biliary cirrhosis (PCR) is a disease caused by a virus.    - Symptoms of PCR include a fever, headache, abdominal pain, abdominal cramps, and weight loss.    - PCR can be hard to diagnose and treat. It is important to know your symptoms, which may include       - Fatigue    - Muscle pain    - Cough    - Pain    - Pain or a feeling of fullness below the ribs    - Fatigue    - Fatigue with no known cause    - Weight loss for no known reason        Your doctor will diagnose PCR with a physical exam, blood tests, and a liver function test. Treatments include medicines, antiviral medicines, and other treatments.    NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
Who is at risk for Fecal Incontinence? ?,"Nearly 18 million U.S. adultsabout one in 12have fecal incontinence.1 People of any age can have a bowel control problem, though fecal incontinence is more common in older adults. Fecal incontinence is slightly more common among women. Having any of the following can increase the risk:
                
- diarrhea, which is passing loose, watery stools three or more times a day  - urgency, or the sensation of having very little time to get to the toilet for a bowel movement  - a disease or injury that damages the nervous system  - poor overall health from multiple chronic, or long lasting, illnesses  - a difficult childbirth with injuries to the pelvic floorthe muscles, ligaments, and tissues that support the uterus, vagina, bladder, and rectum","Patient: Who is at risk for Fecal Incontinence? ?
Doctor: People of all ages should be at the highest risk for fecal incontinence. People who are more likely to have it include:       - African-Americans    - American Indian and Pacific Islander Americans    - Asian/Pacific Islander Americans    - Hispanic/Latino/Latino/Latino/Latino/Somali Americans    - Aussians/atritians    - Genital Jews  - People of Northern European descent       Fecal incontinence can happen in men between 50 and 69. It is most common in women."
What is (are) Pervasive Developmental Disorders ?,"The diagnostic category of pervasive developmental disorders (PDD) refers to a group of disorders characterized by delays in the development of socialization and communication skills. Parents may note symptoms as early as infancy, although the typical age of onset is before 3 years of age. Symptoms may include problems with using and understanding language; difficulty relating to people, objects, and events; unusual play with toys and other objects; difficulty with changes in routine or familiar surroundings, and repetitive body movements or behavior patterns. Autism (a developmental brain disorder characterized by impaired social interaction and communication skills, and a limited range of activities and interests) is the most characteristic and best studied PDD. Other types of PDD include Asperger's Syndrome, Childhood Disintegrative Disorder, and Rett's Syndrome. Children with PDD vary widely in abilities, intelligence, and behaviors. Some children do not speak at all, others speak in limited phrases or conversations, and some have relatively normal language development. Repetitive play skills and limited social skills are generally evident. Unusual responses to sensory information, such as loud noises and lights, are also common.","Patient: What is (are) Pervasive Developmental Disorders ?
Doctor: Pervasive developmental disorders are problems caused by problems with development. The most common cause is a failure to recognize and correct ""foreign"" objects as such as toy or coins. These objects can be small or bigger, shaped like an upside-down tree, and have other characteristics that are not part of the normal human environment. They can also be irritants, aggressors, and ""opposable.""    Some people with PDD have a disorder of the head and face. Others have more severe features. Some have intellectual disabilities and behavioral disorders such as autism spectrum disorders.    There are many types of developmental disorders. Some are milder than others, and others are more severe. Your child's behavior and abilities are the most important. Treatments may include speech and language therapy for communication difficulties, behavioral therapies to help you deal with your child's unique needs, and behavioral therapy to help you change roles and relationships.    NIH: National Institute of Child Health and Human Development"
What are the symptoms of Crome syndrome ?,"What are the signs and symptoms of Crome syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Crome syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the renal tubule 90% Aplasia/Hypoplasia of the cerebellum 90% Cataract 90% Cognitive impairment 90% Encephalitis 90% Seizures 90% Nystagmus 50% Acute tubular necrosis - Autosomal recessive inheritance - Cerebellar dysplasia - Congenital cataract - Encephalopathy - Intellectual disability - Short stature - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","Patient: What are the symptoms of Crome syndrome ?
Doctor: If you have Crome syndrome, you may have no symptoms at all. However, if you have symptoms, see your doctor if they bother you. You may have additional symptoms such as       -  Severe fatigue    -  Fatigue     -  Nausea and vomiting    -  Dry skin    -  Dry eyes and mouth     -  Joint pain       Crome syndrome is rare. There is no specific test for the condition and no lab tests to tell if you have it. Doctors use a medical history to look for the specific cause."
What is (are) Chronic Fatigue Syndrome ?,"Chronic fatigue syndrome (CFS) is a disorder that causes extreme fatigue. This fatigue is not the kind of tired feeling that goes away after you rest. Instead, it lasts a long time and limits your ability to do ordinary daily activities.    The main symptom of CFS is severe fatigue that lasts for 6 months or more. You also have at least four of these other symptoms:       - Feeling unwell for more than 24 hours after physical activity    - Muscle pain    - Memory problems    - Headaches    - Pain in multiple joints    - Sleep problems    - Sore throat    - Tender lymph nodes       CFS is hard to diagnose. There are no tests for it, and other illnesses can cause similar symptoms. Your doctor has to rule out other diseases before making a diagnosis of CFS.    No one knows what causes CFS. It is most common in women in their 40s and 50s, but anyone can have it. It can last for years. There is no cure for CFS, so the goal of treatment is to improve symptoms. Medicine may treat pain, sleep disorders, and other problems. Lifestyle changes, coping techniques, and a special, gradual exercise program can also help.    Centers for Disease Control and Prevention","Patient: What is (are) Chronic Fatigue Syndrome ?
Doctor: Chronic fatigue syndrome is a group of symptoms that cause long-term, intense, and sometimes debilitating fatigue. These symptoms are common to many older adults. They include:       -  Nausea and vomiting    -  Muscle aches    -  Nausea and vomiting    -  Dizziness, irritability, mood changes    -  Cough    -  Confusion        If you have these symptoms, it is important to get help. There are many ways to get help for chronic fatigue syndrome. Treatment can relieve the symptoms, relieve stress, and help you focus and function better.    NIH: National Institute of Neurological Disorders and Stroke"
Is nonsyndromic holoprosencephaly inherited ?,"Nonsyndromic holoprosencephaly is inherited in an autosomal dominant pattern, which means an alteration in one copy of a gene in each cell is usually sufficient to cause the disorder. However, not all people with a gene mutation will develop signs and symptoms of the condition.  In some cases, an affected person inherits the mutation from one parent who may or may not have mild features of the condition. Other cases result from a new gene mutation and occur in people with no history of the disorder in their family.","Patient: Is nonsyndromic holoprosencephaly inherited ?
Doctor: Nonsyndromic holoprosencephaly has different patterns of inheritance. When it is inherited the pattern follows an X-linked dominant pattern of inheritance. The parents of one child are called carriers, and they have a 50% chance of being affected. The other child is called non-carriers.    Nonsyndromic holoprosencephaly may also be inherited in an autosomal dominant pattern. Autosomal dominant inheritance means one copy of the altered gene in each cell is sufficient to cause the disorder. In some cases, an affected person inherits the mutation from an affected parent. Other cases result from new mutations in the gene and occur in people with no history of the disorder in their family.    Some cases of nonsyndromic holoprosencephaly are inherited in an autosomal recessive pattern. Autosomal recessive inheritance means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene. They typically do not show signs or symptoms of the condition."
How to prevent Balance Problems ?,"People are more likely to have problems with balance as they get older. But age is not the only reason these problems occur; there are other causes, too. In some cases, you can help reduce your risk for certain balance problems. Problems in the Inner Ear Some balance disorders are caused by problems in the inner ear. The part of the inner ear that is responsible for balance is the vestibular system, also known as the labyrinth. When the labyrinth becomes infected or swollen, this condition is called labyrinthitis. It is typically accompanied by vertigo and imbalance. Upper respiratory infections and other viral infections, and, less commonly, bacterial infections, can lead to labyrinthitis. Other Causes Other balance diseorers may involve another part of the body, such as the brain or the heart. For example, diseases of the circulatory system, such as stroke, can cause dizziness and other balance problems. Smoking and diabetes can increase the risk of stroke. Low blood pressure can also cause dizziness. Aging, infections, head injury and many medicines may also result in a balance problem. Problems Caused by Medications Balance problems can also result from taking many medications. For example, some medicines, such as those that help lower blood pressure, can make a person feel dizzy. Ototoxic drugs are medicines that damage the inner ear. If your medicine is ototoxic, you may feel off balance. Sometimes the damage lasts only as long as you take the drug; many times it is permanent. Groups of drugs that are more likely to be ototoxic include -  antidepressants  - anti-seizure drugs (anticonvulsants)  -  hypertensive (high blood pressure) drugs  - sedatives  - tranquilizers  -  anxiolytics (anti-anxiety drugs)   - aminoglycosides (a type of antibiotic)   - diuretics  - vasodilators  - certain analgesics (painkillers)  - certain chemotherapeutics (anti-cancer drugs). antidepressants anti-seizure drugs (anticonvulsants) hypertensive (high blood pressure) drugs sedatives tranquilizers anxiolytics (anti-anxiety drugs) aminoglycosides (a type of antibiotic) diuretics vasodilators certain analgesics (painkillers) certain chemotherapeutics (anti-cancer drugs). Check with your doctor if you notice a problem while taking a medication. Ask if other medications can be used instead. If not, ask if the dosage can be safely reduced. Sometimes it cannot. However, your doctor will help you get the medication you need while trying to reduce unwanted side effects. Diet and Lifestyle Can Help Your diet and lifestyle can help you manage certain balance-related problems. For example, Mnire's disease, which causes vertigo and other balance and hearing problems, is linked to a change in the volume of fluid in the inner ear. By eating low-salt (low-sodium) or salt-free foods, and steering clear of caffeine and alcohol, you may make Mnire's disease symptoms less severe. See suggestions for limiting salt (sodium) in your diet. Balance problems due to high blood pressure can be managed by eating less salt (less sodium), maintaining a healthy weight, and exercising. Balance problems due to low blood pressure may be managed by drinking plenty of fluids, such as water, avoiding alcohol, and being cautious regarding your body's posture and movement, such as standing up slowly and avoiding crossing your legs when youre seated. Learn more about managing high blood pressure (hypertension). Learn more about manging low blood pressure (hypotension). Prevent Ear Infections The ear infection called otitis media is common in children, but adults can get it too. Otitis media can sometimes cause dizziness. You can help prevent otitis media by washing your hands frequently. Also, talk to your doctor about getting a yearly flu shot to stave off flu-related ear infections. If you still get an ear infection, see a doctor immediately before it becomes more serious. Learn more about otitis media and other ear infections. (Centers for Disease Control and Prevention)","Patient: How to prevent Balance Problems ?
Doctor: If you have a balance problem, you have more risk of falling. If you have balance disorders, you have more problems to deal with. They include       - Balance problems    - Dehydration    - Heart problems    - Strains, especially of the neck, shoulders, arms and legs   - Muscular and bone disorders    - Dementia    - Anxiety disorders"
What are the symptoms of Porencephaly ?,"What are the signs and symptoms of Porencephaly? The Human Phenotype Ontology provides the following list of signs and symptoms for Porencephaly. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of movement 90% Hypertonia 90% Ventriculomegaly 90% Cognitive impairment 50% Hemiplegia/hemiparesis 50% Autosomal dominant inheritance - Babinski sign - Cerebellar atrophy - Elevated serum creatine phosphokinase - Exotropia - Hemiplegia - Hemolytic anemia - Hydrocephalus - Incomplete penetrance - Intellectual disability - Intracranial hemorrhage - Ischemic stroke - Leukoencephalopathy - Limb dystonia - Porencephaly - Schizencephaly - Seizures - Spasticity - Tetraparesis - Variable expressivity - Visual field defect - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","Patient: What are the symptoms of Porencephaly ?
Doctor: A child born with porencephaly may be small, weak or speechless. It is usually diagnosed between the second and third months, although it can happen at any age.    Symptoms of porencephaly can include       - Weakness, usually in the legs    - Numbness, especially on one side of the body    - Pain, especially on one side of the face    - Trouble swallowing    - Drooling    - Drooling    - Dizziness         If symptoms do not go away, you should see your child's doctor. Treatment for porencephaly includes medicines to relieve pain and treat nerve damage.    NIH: National Institute of Neurological Disorders and Stroke"
"How many people are affected by intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomalies ?","IMAGe syndrome is very rare, with only about 20 cases reported in the medical literature. The condition has been diagnosed more often in males than in females, probably because females do not have associated genital abnormalities.","Patient: How many people are affected by intrauterine growth restriction, metaphyseal dysplasia, adrenal hypoplasia congenita, and genital anomalies ?
Doctor: IMAGe syndrome is rare. Approximately 200 cases have been described in the medical literature so far. It is estimated that the condition affects between 1 in 10,000 and 1 in 100,000 people in the United States. The incidence of IMAGe syndrome in other populations is unknown."
